GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-PL-72;B3-TR-15;0,2681%;23,81;14,01;2,20;16,21;16,21;26.095,64 €;ABIERTO;B3-TR-15;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-73;B3-TR-16;0,2848%;25,29;14,88;2,34;17,22;17,22;27.721,58 €;ABIERTO;B3-TR-16;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-01;B3-TR-17;0,3667%;32,57;19,16;3,01;22,17;22,17;35.690,33 €;ABIERTO;B3-TR-17;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-02;B3-TR-18;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-18;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-03;B3-TR-19;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-19;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-04;B3-TR-20;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B3-TR-20;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-05;B3-TR-21;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B3-TR-21;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-06;B3-TR-22;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-22;0,1560%;13,85;8,15;8,00;12.878,78 €
B3-PL-07;B3-TR-23;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-23;0,1587%;14,09;8,29;8,00;12.878,78 €
B3-PL-08;B3-TR-24;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B3-TR-24;0,1307%;11,61;6,83;6,83;10.995,26 €
B3-PL-09;B3-TR-25;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B3-TR-25;0,1334%;11,85;6,97;6,97;11.220,64 €
